Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date
6046 W GRAND,6046,WEST,GRAND,-87.777357,41.9211009,6046 WEST GRAND AVENUE,W,6046 W GRAND,,,,,,,7551,1/3/2014 3:21:00 AM,N577497,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,FORD,60,True,2014-01-03 03:21:00
6042 W GRAND,,,,,,,,,0.744,dstk,41.920896,-87.776972,6042 W GRAND,6042 W Grand Ave,7552,1/3/2014 3:24:00 AM,95023SB,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,FORD,60,True,2014-01-03 03:24:00
6132 N GRANDA VE,,,,,,,,,0.788,dstk,41.921315,-87.77929,6132 N GRANDA VE,6132 W Grand Ave,7553,1/3/2014 3:30:00 AM,966P398,IL,TMP,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,SUBA,60,True,2014-01-03 03:30:00
6152 W GRAND,6152,WEST,GRAND,-87.7800395,41.9216156,6152 WEST GRAND AVENUE,W,6152 W GRAND,,,,,,,7554,1/3/2014 3:33:00 AM,N951670,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,HOND,60,True,2014-01-03 03:33:00
6044 W GRAND,,,,,,,,,0.744,dstk,41.920902,-87.777061,6044 W GRAND,6044 W Grand Ave,7556,1/3/2014 3:23:00 AM,S809628,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,NISS,60,True,2014-01-03 03:23:00
6048 W GRAND,6048,WEST,GRAND,-87.7774721,41.9211131,6048 WEST GRAND AVENUE,W,6048 W GRAND,,,,,,,7557,1/3/2014 3:26:00 AM,R421534,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,BUIC,60,True,2014-01-03 03:26:00
6048 W GRAND,6048,WEST,GRAND,-87.7774721,41.9211131,6048 WEST GRAND AVENUE,W,6048 W GRAND,,,,,,,131927,1/27/2014 3:30:00 PM,S809628,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,NISS,60,True,2014-01-27 15:30:00
6134 W GRAND,6134,WEST,GRAND,-87.7797101,41.9216029,6134 WEST GRAND AVENUE,W,6134 W GRAND,,,,,,,7558,1/3/2014 3:29:00 AM,K551255,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,NISS,60,True,2014-01-03 03:29:00
6134 W GRAND,6134,WEST,GRAND,-87.7797101,41.9216029,6134 WEST GRAND AVENUE,W,6134 W GRAND,,,,,,,18264,1/7/2014 3:17:00 AM,R483744,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,BMW,60,True,2014-01-07 03:17:00
6150 W GRAND,6150,WEST,GRAND,-87.7799445,41.9216005,6150 WEST GRAND AVENUE,W,6150 W GRAND,,,,,,,7559,1/3/2014 3:33:00 AM,R173086,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,VOLK,60,True,2014-01-03 03:33:00
