Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date
3604 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931982,-87.717317,3604 W DIVERSEY AVE,3604 W Diversey Ave,27804,1/8/2010 2:49:00 AM,9825667,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,MERZ,60,True,2010-01-08 02:49:00
3604 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931982,-87.717317,3604 W DIVERSEY AVE,3604 W Diversey Ave,27805,1/8/2010 2:55:00 AM,26215U-B,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,CHEV,60,True,2010-01-08 02:55:00
3606 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931981,-87.71744,3606 W DIVERSEY AVE,3606 W Diversey Ave,27806,1/8/2010 2:59:00 AM,7915814,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,JEEP,60,True,2010-01-08 02:59:00
3734 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931942,-87.720746,3734 W DIVERSEY AVE,3734 W Diversey Ave,27807,1/8/2010 3:48:00 AM,25718M,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,CHEV,60,True,2010-01-08 03:48:00
3736 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931866,-87.720858,3736 W DIVERSEY AVE,3736 W Diversey Ave,27808,1/8/2010 3:50:00 AM,H749279,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,PLYM,60,True,2010-01-08 03:50:00
3738 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931866,-87.720858,3738 W DIVERSEY AVE,3738 W Diversey Ave,27809,1/8/2010 3:52:00 AM,G291433,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,PONT,60,True,2010-01-08 03:52:00
4740 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931621,-87.745477,4740 W DIVERSEY AVE,4740 W Diversey Ave,27810,1/8/2010 3:55:00 AM,482L380,IL,TMP,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,FORD,60,True,2010-01-08 03:55:00
3744 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931939,-87.720951,3744 W DIVERSEY AVE,3744 W Diversey Ave,27811,1/8/2010 3:58:00 AM,G355117,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,SUZI,60,True,2010-01-08 03:58:00
3744 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931939,-87.720951,3744 W DIVERSEY AVE,3744 W Diversey Ave,27812,1/8/2010 4:01:00 AM,A423869,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,CHEV,60,True,2010-01-08 04:01:00
3746 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931938,-87.720982,3746 W DIVERSEY AVE,3746 W Diversey Ave,27813,1/8/2010 4:04:00 AM,K134035,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,CHEV,60,True,2010-01-08 04:04:00
3750 W DIVERSEY AVE,,,,,,,,,0.836,dstk,41.931937,-87.721105,3750 W DIVERSEY AVE,3750 W Diversey Ave,27814,1/8/2010 4:08:00 AM,938K942,IL,TMP,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,25,DODG,60,True,2010-01-08 04:08:00
6323 S CALIFORNIA,6323,SOUTH,CALIFORNIA,-87.6928533,41.7783097,6323 SOUTH CALIFORNIA AVENUE,S,6323 S CALIFORNIA,,,,,,,32180,1/8/2010 7:25:00 AM,H893312,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,FORD,60,True,2010-01-08 07:25:00
6045 S CALIFORNIA,,,,,,,,,0.766,dstk,41.783766,-87.693449,6045 S CALIFORNIA,6045 S California Ave,32181,1/8/2010 7:35:00 AM,51209U,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,DODG,60,True,2010-01-08 07:35:00
5827 S CALIFORNIA,5827,SOUTH,CALIFORNIA,-87.6933533,41.7873827,5827 SOUTH CALIFORNIA AVENUE,S,5827 S CALIFORNIA,,,,,,,32182,1/8/2010 7:44:00 AM,JWV830,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2010-01-08 07:44:00
925 N PULASKI,,,,,,,,,0.772,dstk,41.897647,-87.726076,925 N PULASKI,925 N Pulaski Rd,32221,1/8/2010 1:44:00 AM,6738855,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,FORD,60,True,2010-01-08 01:44:00
925 N PULASKI,,,,,,,,,0.772,dstk,41.897647,-87.726076,925 N PULASKI,925 N Pulaski Rd,32222,1/8/2010 1:46:00 AM,H838223,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,FORD,60,True,2010-01-08 01:46:00
946 N PULASKI,946,NORTH,PULASKI,-87.7264558,41.8985616,946 NORTH PULASKI ROAD,N,946 N PULASKI,,,,,,,32223,1/8/2010 1:44:00 AM,1189YG,IL,SPM,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,BUIC,60,True,2010-01-08 01:44:00
946 N PULASKI,946,NORTH,PULASKI,-87.7264558,41.8985616,946 NORTH PULASKI ROAD,N,946 N PULASKI,,,,,,,2436504,1/8/2010 1:52:00 AM,PHENYLE,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,CHEV,60,True,2010-01-08 01:52:00
6840 S ASHLAND,6840,SOUTH,ASHLAND,-87.6642321,41.7691537,6840 SOUTH ASHLAND AVENUE,S,6840 S ASHLAND,,,,,,,32245,1/8/2010 2:05:00 AM,408L924,IL,TMP,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,7,NISS,60,True,2010-01-08 02:05:00
6848 S ASHLAND,6848,SOUTH,ASHLAND,-87.6642949,41.7689457,6848 SOUTH ASHLAND AVENUE,S,6848 S ASHLAND,,,,,,,32246,1/8/2010 2:07:00 AM,X948219,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,7,KIA,60,True,2010-01-08 02:07:00
915 N PULASKI,915,NORTH,PULASKI,-87.7258994,41.897669,915 NORTH PULASKI ROAD,N,915 N PULASKI,,,,,,,32366,1/8/2010 1:18:00 AM,BED5389,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,TOYT,60,True,2010-01-08 01:18:00
923 W PULASKI,,,,,,,,,0.747,dstk,41.869635,-87.725228,923 W PULASKI,923 S Pulaski Rd,32367,1/8/2010 1:21:00 AM,G235168,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,JEEP,60,True,2010-01-08 01:21:00
923 N PULASKI,923,NORTH,PULASKI,-87.7259249,41.8979461,923 NORTH PULASKI ROAD,N,923 N PULASKI,,,,,,,32369,1/8/2010 1:25:00 AM,XKV472,MN,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,HYUN,60,True,2010-01-08 01:25:00
943 N PULASKI,943,NORTH,PULASKI,-87.7258814,41.8984791,943 NORTH PULASKI ROAD,N,943 N PULASKI,,,,,,,32370,1/8/2010 1:34:00 AM,H863188,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,NISS,60,True,2010-01-08 01:34:00
943 N PULASKI,943,NORTH,PULASKI,-87.7258814,41.8984791,943 NORTH PULASKI ROAD,N,943 N PULASKI,,,,,,,32371,1/8/2010 1:34:00 AM,9274857,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,NISS,60,True,2010-01-08 01:34:00
945 N PULASKI,,,,,,,,,0.772,dstk,41.898019,-87.726084,945 N PULASKI,945 N Pulaski Rd,32372,1/8/2010 1:38:00 AM,X420497,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,11,TOYT,60,True,2010-01-08 01:38:00
3826 W 55TH ST,,,,,,,,,0.808,dstk,41.793331,-87.719356,3826 W 55TH ST,3826 W 55th St,32642,1/7/2010 3:12:00 PM,K445342,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,DODG,60,True,2010-01-07 15:12:00
3713 W 55TH ST,,,,,,,,,0.808,dstk,41.793229,-87.71626,3713 W 55TH ST,3713 W 55th St,32643,1/7/2010 3:25:00 PM,G168726,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2010-01-07 15:25:00
6725 W 63RD ST,,,,,,,,,0.808,dstk,41.777471,-87.789621,6725 W 63RD ST,6725 W 63rd St,32696,1/7/2010 11:37:00 PM,H869523,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2010-01-07 23:37:00
6124 W 63RD ST,,,,,,,,,0.808,dstk,41.77787,-87.774917,6124 W 63RD ST,6124 W 63rd St,32697,1/7/2010 11:48:00 PM,87320G,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2010-01-07 23:48:00
6702 W 63RD ST,,,,,,,,,0.808,dstk,41.777636,-87.788654,6702 W 63RD ST,6702 W 63rd St,32698,1/7/2010 11:55:00 PM,65145T,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2010-01-07 23:55:00
6435 W 63RD ST,,,,,,,,,0.808,dstk,41.77758,-87.782538,6435 W 63RD ST,6435 W 63rd St,32699,1/8/2010 12:04:00 AM,A43501,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,NISS,60,True,2010-01-08 00:04:00
6047 W 63RD ST,,,,,,,,,0.808,dstk,41.777759,-87.772885,6047 W 63RD ST,6047 W 63rd St,32700,1/8/2010 12:06:00 PM,X969922,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,FORD,60,True,2010-01-08 12:06:00
5911 W 63RD ST,,,,,,,,,0.808,dstk,41.777824,-87.769437,5911 W 63RD ST,5911 W 63rd St,32701,1/8/2010 2:47:00 AM,5777718,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,FORD,60,True,2010-01-08 02:47:00
5833 W 63RD ST,,,,,,,,,0.808,dstk,41.777934,-87.767825,5833 W 63RD ST,5833 W 63rd St,32702,1/8/2010 2:51:00 AM,H314757,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,PONT,60,True,2010-01-08 02:51:00
7047 W 63RD ST,,,,,,,,,0.808,dstk,41.777356,-87.797933,7047 W 63RD ST,7047 W 63rd St,32720,1/7/2010 11:29:00 PM,X732091,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CADI,60,True,2010-01-07 23:29:00
6118 W 63RD ST,,,,,,,,,0.808,dstk,41.777875,-87.774548,6118 W 63RD ST,6118 W 63rd St,32721,1/7/2010 11:47:00 PM,9105488,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2010-01-07 23:47:00
6046 N KIMBALL,6046,NORTH,KIMBALL,-87.7143582,41.991658,6046 NORTH KIMBALL AVENUE,N,6046 N KIMBALL,,,,,,,32887,1/7/2010 12:23:00 PM,A495665,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,17,FORD,60,True,2010-01-07 12:23:00
6040 N KIMBALL,6040,NORTH,KIMBALL,-87.7143504,41.9914915,6040 NORTH KIMBALL AVENUE,N,6040 N KIMBALL,,,,,,,32888,1/7/2010 12:27:00 PM,X550412,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,17,NISS,60,True,2010-01-07 12:27:00
6017 N KIMBALL,6017,NORTH,KIMBALL,-87.7136416,41.9908255,6017 NORTH KIMBALL AVENUE,N,6017 N KIMBALL,,,,,,,32889,1/7/2010 12:31:00 PM,G685964,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,17,FORD,60,True,2010-01-07 12:31:00
