Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date
7340 S RACINE,7340,SOUTH,RACINE,-87.6542578,41.7601533,7340 SOUTH RACINE AVENUE,S,7340 S RACINE,,,,,,,18691,1/4/2015 9:06:00 AM,P993668,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,7,HOND,60,True,2015-01-04 09:06:00
2907 W 71ST ST,,,,,,,,,0.808,dstk,41.764418,-87.695717,2907 W 71ST ST,2907 W 71st St,24357,1/6/2015 1:00:00 AM,A753330,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,TOYT,60,True,2015-01-06 01:00:00
2849 W 71ST ST,,,,,,,,,0.808,dstk,41.764437,-87.694532,2849 W 71ST ST,2849 W 71st St,24358,1/6/2015 1:03:00 AM,707419,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,KIA,60,True,2015-01-06 01:03:00
2849 W 71ST ST,,,,,,,,,0.808,dstk,41.764437,-87.694532,2849 W 71ST ST,2849 W 71st St,24360,1/6/2015 1:10:00 AM,V638557,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,NISS,60,True,2015-01-06 01:10:00
2851 W 71ST ST,,,,,,,,,0.808,dstk,41.764436,-87.694559,2851 W 71ST ST,2851 W 71st St,24359,1/6/2015 1:07:00 AM,L936293,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2015-01-06 01:07:00
2845 W 71ST ST,,,,,,,,,0.808,dstk,41.764438,-87.694414,2845 W 71ST ST,2845 W 71st St,24361,1/6/2015 1:14:00 AM,S422644,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,HOND,60,True,2015-01-06 01:14:00
2837 W 71ST ST,,,,,,,,,0.808,dstk,41.764441,-87.694304,2837 W 71ST ST,2837 W 71st St,24362,1/6/2015 1:24:00 AM,S776889,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2015-01-06 01:24:00
2835 W 71ST ST,,,,,,,,,0.808,dstk,41.764441,-87.694276,2835 W 71ST ST,2835 W 71st St,24363,1/6/2015 1:28:00 AM,L925286,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,HYUN,60,True,2015-01-06 01:28:00
2815 W 71ST ST,,,,,,,,,0.808,dstk,41.764453,-87.693514,2815 W 71ST ST,2815 W 71st St,24364,1/6/2015 1:40:00 AM,N193065,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,GMC,60,True,2015-01-06 01:40:00
2817 W 71TH ST,,,,,,,,,0.808,dstk,41.764452,-87.693574,2817 W 71TH ST,2817 W 71st St,24365,1/6/2015 1:43:00 AM,H953699,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,GMC,60,True,2015-01-06 01:43:00
