Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date
1529 S STATE,1529,SOUTH,STATE,-87.6268872,41.8609607,1529 SOUTH STATE STREET,S,1529 S STATE,,,,,,,9788,1/3/2012 3:11:00 AM,FGP2068,OH,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,HOND,60,True,2012-01-03 03:11:00
1457 S STAE,,,,,,,,,0.75,Bing,41.8622627109,-87.6271697134,1457 S STAE,"1457 S State St, Chicago, IL 60605, United States",11524,1/3/2012 3:02:00 AM,CNM7258,NY,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,NISS,60,True,2012-01-03 03:02:00
1523 W 18TH ST,,,,,,,,,0.808,dstk,41.857751,-87.664282,1523 W 18TH ST,1523 W 18th St,11555,1/2/2012 8:54:00 AM,L627496,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,12,FORD,60,True,2012-01-02 08:54:00
618 E 79TH STREET,,,,,,,,,0.789,dstk,41.751286,-87.609479,618 E 79TH STREET,618 E 79th St,70468,1/13/2012 12:35:00 AM,712M076,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,FORD,60,True,2012-01-13 00:35:00
7838 S COTTAGE GROVE,7838,SOUTH,COTTAGE GROVE,-87.6055549,41.7519716,7838 SOUTH COTTAGE GROVE AVENUE,S,7838 S COTTAGE GROVE,,,,,,,70469,1/13/2012 12:48:00 AM,A434850,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,LEXU,60,True,2012-01-13 00:48:00
7808 S KING DRIVE,,,,,,,,,0.75,Bing,41.752563,-87.615432,7808 S KING DRIVE,"7808 S King Dr, Chicago, IL 60619, United States",70470,1/13/2012 1:15:00 AM,9693623,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,LEXU,60,True,2012-01-13 01:15:00
7621 S KING DRIVE,,,,,,,,,0.75,Bing,41.755931,-87.614685,7621 S KING DRIVE,"7621 S King Dr, Chicago, IL 60619, United States",70471,1/13/2012 1:27:00 AM,K371530,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,MERC,60,True,2012-01-13 01:27:00
7615 S KING DRIVE,,,,,,,,,0.75,Bing,41.756107,-87.614692,7615 S KING DRIVE,"7615 S King Dr, Chicago, IL 60619, United States",70472,1/13/2012 1:32:00 AM,G990173,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,FORD,60,True,2012-01-13 01:32:00
7612 S KING DRIVE,,,,,,,,,0.75,Bing,41.756114,-87.615516,7612 S KING DRIVE,"7612 S King Dr, Chicago, IL 60619, United States",70473,1/13/2012 1:36:00 AM,L695681,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,CHEV,60,True,2012-01-13 01:36:00
7624 S KING DRIVE,,,,,,,,,0.75,Bing,41.7560639977,-87.6151292771,7624 S KING DRIVE,"7624 S King Dr, Chicago, IL 60619, United States",70474,1/13/2012 1:40:00 AM,DSTLUV,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,DODG,60,True,2012-01-13 01:40:00
