Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date
4016 W 26ST,,,,,,,,,0.74,dstk,41.844312,-87.725603,4016 W 26ST,4016 W 26th St,139528,1/25/2013 7:30:00 AM,R347708,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,MITS,60,True,2013-01-25 07:30:00
4020 W 26ST,,,,,,,,,0.74,dstk,41.844235,-87.725763,4020 W 26ST,4020 W 26th St,139529,1/25/2013 7:33:00 AM,N864372,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,TOYT,60,True,2013-01-25 07:33:00
4022 W 26ST,,,,,,,,,0.74,dstk,41.844309,-87.725815,4022 W 26ST,4022 W 26th St,139530,1/25/2013 7:35:00 AM,27536D,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,CHEV,60,True,2013-01-25 07:35:00
4316 W 26ST,,,,,,,,,0.74,dstk,41.844226,-87.731902,4316 W 26ST,4316 W 26th St,139531,1/25/2013 7:41:00 AM,405WS,IA,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,TOYT,60,True,2013-01-25 07:41:00
4330 W 26TH ST,,,,,,,,,0.808,dstk,41.844218,-87.732294,4330 W 26TH ST,4330 W 26th St,139532,1/25/2013 7:45:00 AM,636972,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,FORD,60,True,2013-01-25 07:45:00
4330 W 26TH ST,,,,,,,,,0.808,dstk,41.844218,-87.732294,4330 W 26TH ST,4330 W 26th St,139533,1/25/2013 8:50:00 AM,P134522,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,HYUN,60,True,2013-01-25 08:50:00
3740 W 26TH ST,,,,,,,,,0.808,dstk,41.844401,-87.718568,3740 W 26TH ST,3740 W 26th St,139534,1/25/2013 8:25:00 AM,P486643,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,CHEV,60,True,2013-01-25 08:25:00
3555 W 26TH ST,,,,,,,,,0.808,dstk,41.844318,-87.714215,3555 W 26TH ST,3555 W 26th St,139535,1/25/2013 8:36:00 AM,A822165,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,HOND,60,True,2013-01-25 08:36:00
3718 W 26TH ST,,,,,,,,,0.808,dstk,41.844412,-87.71796,3718 W 26TH ST,3718 W 26th St,140787,1/25/2013 8:20:00 AM,2204250,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,CHEV,60,True,2013-01-25 08:20:00
3811 W 26TH ST,,,,,,,,,0.808,dstk,41.844235,-87.720077,3811 W 26TH ST,3811 W 26th St,140788,1/25/2013 8:30:00 AM,G56173,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,10,CHEV,60,True,2013-01-25 08:30:00
