Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date
10716 S WESTERN,10716,SOUTH,WESTERN,-87.6816802,41.6985683,10716 SOUTH WESTERN AVENUE,S,10716 S WESTERN,,,,,,,19905,1/4/2016 3:54:00 AM,Y737840,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,22,KIA,60,True,2016-01-04 03:54:00
2160 E 115TH,,,,,,,,,0.71,GoogleV3,41.6854551,-87.6094659,2160 E 115TH,"E 115th St, Chicago, IL 60628, USA",20659,1/4/2016 3:05:00 PM,G579755,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,5,MERC,60,True,2016-01-04 15:05:00
10 W 115TH,10,WEST,115TH,-87.6233446,41.6855299,10 WEST 115TH STREET,W,10 W 115TH,,,,,,,20661,1/4/2016 3:15:00 PM,Y911675,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,5,CHEV,60,True,2016-01-04 15:15:00
238 E 115TH,,,,,,,,,0.815,dstk,41.68547,-87.616021,238 E 115TH,238 E 115th St,20662,1/4/2016 3:25:00 PM,Y730438,IL,TMP,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,5,FORD,60,True,2016-01-04 15:25:00
240 W 115TH,,,,,,,,,0.815,dstk,41.685319,-87.629022,240 W 115TH,240 W 115th St,20663,1/4/2016 3:30:00 PM,N917238,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,5,CHEV,60,True,2016-01-04 15:30:00
10948 S WESTERN,10948,SOUTH,WESTERN,-87.6816981,41.6940298,10948 SOUTH WESTERN AVENUE,S,10948 S WESTERN,,,,,,,22528,1/4/2016 4:04:00 AM,K619816,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,22,CHEV,60,True,2016-01-04 04:04:00
10948 S WESTERN,10948,SOUTH,WESTERN,-87.6816981,41.6940298,10948 SOUTH WESTERN AVENUE,S,10948 S WESTERN,,,,,,,22529,1/4/2016 4:08:00 AM,277S235,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,22,JAGU,60,True,2016-01-04 04:08:00
10925 S WESTER,,,,,,,,,0.75,Bing,41.6945571899,-87.6805801392,10925 S WESTER,"10925 S Western Ave, Chicago, IL 60643, United States",22530,1/4/2016 4:13:00 AM,V770691,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,22,LEXU,60,True,2016-01-04 04:13:00
240 W 115TH ST,,,,,,,,,0.873,dstk,41.685319,-87.629022,240 W 115TH ST,240 W 115th St,46104,1/4/2016 3:30:00 PM,N922023,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,5,FORD,60,True,2016-01-04 15:30:00
2724 E 83RD ST,,,,,,,,,0.808,dstk,41.744644,-87.557809,2724 E 83RD ST,2724 E 83rd St,68355,1/12/2016 2:45:00 AM,Y879848,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,CHEV,60,True,2016-01-12 02:45:00
2145 E 83RD ST,,,,,,,,,0.808,dstk,41.744312,-87.57185,2145 E 83RD ST,2145 E 83rd St,68356,1/12/2016 2:55:00 AM,353FDC,IN,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,FORD,60,True,2016-01-12 02:55:00
206 W 95TH ST,,,,,,,,,0.711,dstk,41.721685,-87.629892,206 W 95TH ST,208 W 95th St,69656,1/12/2016 6:23:00 PM,627S430,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,GMC,60,True,2016-01-12 18:23:00
8234 S COTTAGE GR AV,,,,,,,,,0.773,dstk,41.745162,-87.605142,8234 S COTTAGE GR AV,8234 S Cottage Grove Ave,69681,1/11/2016 11:36:00 PM,Z348445,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,SUBA,60,True,2016-01-11 23:36:00
8433 S M L KING DR,,,,,,,,,0.71,GoogleV3,41.7409884,-87.6146579,8433 S M L KING DR,"8433 S Martin Luther King Dr, Chicago, IL 60619, USA",69682,1/11/2016 11:58:00 PM,E393573,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,KIA,60,True,2016-01-11 23:58:00
8442 S COTTAGE GR AV,,,,,,,,,0.773,dstk,41.739665,-87.604986,8442 S COTTAGE GR AV,8442 S Cottage Grove Ave,69683,1/11/2016 11:45:00 PM,P633158,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,CHEV,60,True,2016-01-11 23:45:00
9429 S M L KING DR,,,,,,,,,0.75,Bing,41.722854,-87.613822,9429 S M L KING DR,"9429 S King Dr, Chicago, IL 60619, United States",69684,1/12/2016 12:02:00 AM,A846127,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,NISS,60,True,2016-01-12 00:02:00
9418 S KING DR,,,,,,,,,0.75,Bing,41.723049,-87.614524,9418 S KING DR,"9418 S King Dr, Chicago, IL 60619, United States",69685,1/12/2016 12:06:00 AM,Z342302,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,NISS,60,True,2016-01-12 00:06:00
9319 S M L KING DR,,,,,,,,,0.75,Bing,41.724952,-87.613876,9319 S M L KING DR,"9319 S King Dr, Chicago, IL 60619, United States",69686,1/12/2016 1:50:00 AM,MSMERL1,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,LEXU,60,True,2016-01-12 01:50:00
8323 S M L KING DR,,,,,,,,,0.71,GoogleV3,41.7429675,-87.61471,8323 S M L KING DR,"8323 S Martin Luther King Dr, Chicago, IL 60619, USA",69687,1/12/2016 2:00:00 AM,V645098,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,TOYT,60,True,2016-01-12 02:00:00
8229 S KING DR,,,,,,,,,0.75,Bing,41.744766,-87.614372,8229 S KING DR,"8229 S King Dr, Chicago, IL 60619, United States",69688,1/12/2016 2:05:00 AM,Z275053,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,CHRY,60,True,2016-01-12 02:05:00
8221 S KING DR,,,,,,,,,0.75,Bing,41.7451708764,-87.6147564501,8221 S KING DR,"8221 S King Dr, Chicago, IL 60619, United States",69689,1/12/2016 2:07:00 AM,84847FF,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,LEXU,60,True,2016-01-12 02:07:00
8209 S KING DR,,,,,,,,,0.75,Bing,41.745315,-87.614387,8209 S KING DR,"8209 S King Dr, Chicago, IL 60619, United States",69690,1/12/2016 2:12:00 AM,P271942,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,JEEP,60,True,2016-01-12 02:12:00
8105 S M L KING DR,,,,,,,,,0.75,Bing,41.747207,-87.61444,8105 S M L KING DR,"8105 S King Dr, Chicago, IL 60619, United States",69691,1/12/2016 2:20:00 AM,P625296,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,CHEV,60,True,2016-01-12 02:20:00
8111 S M L KING DR,,,,,,,,,0.75,Bing,41.747001,-87.614433,8111 S M L KING DR,"8111 S King Dr, Chicago, IL 60619, United States",69692,1/12/2016 2:02:00 AM,E686373,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,HYUN,60,True,2016-01-12 02:02:00
8113 S M L KING DR,,,,,,,,,0.71,GoogleV3,41.7469627,-87.6148586,8113 S M L KING DR,"8113 S Martin Luther King Dr, Chicago, IL 60619, USA",69693,1/12/2016 2:26:00 AM,Z637735,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,6,PONT,60,True,2016-01-12 02:26:00
104 W 111TH ST,,,,,,,,,0.873,dstk,41.692625,-87.625897,104 W 111TH ST,104 W 111th St,70269,1/9/2016 5:05:00 PM,S935495,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,12,CHEV,60,True,2016-01-09 17:05:00
104 W 111TH ST,,,,,,,,,0.873,dstk,41.692625,-87.625897,104 W 111TH ST,104 W 111th St,70270,1/9/2016 5:12:00 PM,819TCN,MN,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,12,DODG,60,True,2016-01-09 17:12:00
120 W 111TH ST,,,,,,,,,0.776,dstk,41.692621,-87.626119,120 W 111TH ST,118 W 111th St,70271,1/9/2016 5:31:00 PM,Z132557,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,12,TOYT,60,True,2016-01-09 17:31:00
3041 W 71ST ST,,,,,,,,,0.808,dstk,41.764357,-87.699253,3041 W 71ST ST,3041 W 71st St,70349,1/11/2016 9:17:00 PM,V143799,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2016-01-11 21:17:00
3041 W 71ST ST,,,,,,,,,0.808,dstk,41.764357,-87.699253,3041 W 71ST ST,3041 W 71st St,83978,1/11/2016 9:23:00 PM,Z329172,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,PONT,60,True,2016-01-11 21:23:00
3037 W 71ST ST,,,,,,,,,0.808,dstk,41.764358,-87.699198,3037 W 71ST ST,3037 W 71st St,70350,1/11/2016 9:21:00 PM,Z124711,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,CHEV,60,True,2016-01-11 21:21:00
3119 W 71ST ST,,,,,,,,,0.808,dstk,41.764328,-87.700974,3119 W 71ST ST,3119 W 71st St,70421,1/11/2016 9:00:00 PM,N759220,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,BUIC,60,True,2016-01-11 21:00:00
3113 W 71ST ST,,,,,,,,,0.808,dstk,41.764331,-87.70079,3113 W 71ST ST,3113 W 71st St,70422,1/11/2016 9:03:00 PM,H691853,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,MITS,60,True,2016-01-11 21:03:00
3049 W 71ST ST,,,,,,,,,0.808,dstk,41.764354,-87.699425,3049 W 71ST ST,3049 W 71st St,70423,1/11/2016 9:08:00 PM,1299014B,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,FORD,60,True,2016-01-11 21:08:00
3049 W 71ST ST,,,,,,,,,0.808,dstk,41.764354,-87.699425,3049 W 71ST ST,3049 W 71st St,83976,1/11/2016 9:12:00 PM,E278537,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,GMC,60,True,2016-01-11 21:12:00
3047 W 71ST ST,,,,,,,,,0.808,dstk,41.764355,-87.699397,3047 W 71ST ST,3047 W 71st St,70424,1/11/2016 9:11:00 PM,Z292628,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,8,DODG,60,True,2016-01-11 21:11:00
10942 S HALSTED,10942,SOUTH,HALSTED,-87.642799,41.6947101,10942 SOUTH HALSTED STREET,S,10942 S HALSTED,,,,,,,70437,1/11/2016 9:36:00 PM,P731036,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,22,CHEV,60,True,2016-01-11 21:36:00
11112 S HALSTED,11112,SOUTH,HALSTED,-87.6427468,41.6918895,11112 SOUTH HALSTED STREET,S,11112 S HALSTED,,,,,,,70438,1/11/2016 9:39:00 PM,S874456,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,22,CADI,60,True,2016-01-11 21:39:00
2723 E 83RD ST,,,,,,,,,0.808,dstk,41.744494,-87.557827,2723 E 83RD ST,2723 E 83rd St,70769,1/12/2016 2:45:00 AM,1815527B,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,DODG,60,True,2016-01-12 02:45:00
2723 E 83RD ST,,,,,,,,,0.808,dstk,41.744494,-87.557827,2723 E 83RD ST,2723 E 83rd St,70791,1/12/2016 3:17:00 AM,1815527B,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,DODG,60,True,2016-01-12 03:17:00
2123 E 83RD ST,,,,,,,,,0.808,dstk,41.744303,-87.572549,2123 E 83RD ST,2123 E 83rd St,70770,1/12/2016 2:54:00 AM,Z275131,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,FORD,60,True,2016-01-12 02:54:00
3133 E 87TH ST,,,,,,,,,0.808,dstk,41.737355,-87.547794,3133 E 87TH ST,3133 E 87th St,70789,1/12/2016 2:55:00 AM,Z323535,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,MAZD,60,True,2016-01-12 02:55:00
3113 E 87TH ST,,,,,,,,,0.808,dstk,41.737425,-87.548085,3113 E 87TH ST,3113 E 87th St,70790,1/12/2016 2:59:00 AM,E293197,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,DODG,60,True,2016-01-12 02:59:00
3106 E 83RD ST,,,,,,,,,0.808,dstk,41.744768,-87.548864,3106 E 83RD ST,3106 E 83rd St,70792,1/12/2016 3:29:00 AM,N325473,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,DODG,60,True,2016-01-12 03:29:00
3135 E 83RD ST,,,,,,,,,0.808,dstk,41.744631,-87.547825,3135 E 83RD ST,3135 E 83rd St,70793,1/12/2016 3:36:00 AM,E765153,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,CHEV,60,True,2016-01-12 03:36:00
2933 E 87TH,,,,,,,,,0.74,dstk,41.737284,-87.552965,2933 E 87TH,2933 E 87th St,70798,1/12/2016 2:44:00 AM,V605319,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,PONT,60,True,2016-01-12 02:44:00
3016 E 83RD ST,,,,,,,,,0.808,dstk,41.744744,-87.550664,3016 E 83RD ST,3016 E 83rd St,70799,1/12/2016 3:25:00 AM,464CMK,IN,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,4,PLYM,60,True,2016-01-12 03:25:00
5112 W WASHINGTON,5112,WEST,WASHINGTON,-87.7532848,41.8819467,5112 WEST WASHINGTON BOULEVARD,W,5112 W WASHINGTON,,,,,,,70900,1/12/2016 3:00:00 AM,9476780,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,15,PONT,60,True,2016-01-12 03:00:00
5112 W WASHINGTON,5112,WEST,WASHINGTON,-87.7532848,41.8819467,5112 WEST WASHINGTON BOULEVARD,W,5112 W WASHINGTON,,,,,,,70901,1/12/2016 3:09:00 AM,E389230,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,15,JEEP,60,True,2016-01-12 03:09:00
5112 W WASHINGTON,5112,WEST,WASHINGTON,-87.7532848,41.8819467,5112 WEST WASHINGTON BOULEVARD,W,5112 W WASHINGTON,,,,,,,70902,1/12/2016 3:11:00 AM,P630729,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,15,CHEV,60,True,2016-01-12 03:11:00
5112 W WASHINGTON,5112,WEST,WASHINGTON,-87.7532848,41.8819467,5112 WEST WASHINGTON BOULEVARD,W,5112 W WASHINGTON,,,,,,,70903,1/12/2016 3:12:00 AM,Z119487,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,15,JEEP,60,True,2016-01-12 03:12:00
5112 W WASHINGTON,5112,WEST,WASHINGTON,-87.7532848,41.8819467,5112 WEST WASHINGTON BOULEVARD,W,5112 W WASHINGTON,,,,,,,70904,1/12/2016 3:17:00 AM,S185681,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,15,FORD,60,True,2016-01-12 03:17:00
5112 W WASHINGTON,5112,WEST,WASHINGTON,-87.7532848,41.8819467,5112 WEST WASHINGTON BOULEVARD,W,5112 W WASHINGTON,,,,,,,70905,1/12/2016 3:17:00 AM,E675653,IL,TMP,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,15,CHEV,60,True,2016-01-12 03:17:00
