Violation Street Number,Violation Street Direction,Violation Street Name,Violation Description,Violation Date,Violation Time,Issuing Agency,Month,Date,Year,Latitude,Longitude
1**,N,MICHIGAN,10-8-180    Snow and ice removal.,10/16/2015,3:28 AM,Police,1/10/1900,16,2015,41.8832614,-87.6245237
51**,W,DIVERSEY,10-8-180    Snow and ice removal.,11/22/2015,12:00 PM,Streets and Sanitation,1/11/1900,22,2015,41.9317188,-87.7542782
75**,S,LAFAYETTE,10-8-180    Snow and ice removal.,11/23/2015,9:00 AM,Transportation,1/11/1900,23,2015,41.7581722,-87.6263824
42**,N,MILWAUKEE,10-8-180    Snow and ice removal.,11/23/2015,12:00 PM,Streets and Sanitation,1/11/1900,23,2015,41.957301,-87.7518876
31**,N,CLYBOURN,10-8-180    Snow and ice removal.,11/24/2015,12:00 PM,Streets and Sanitation,1/11/1900,24,2015,41.9378032,-87.6861383
9**,N,LAWNDALE,10-8-180    Snow and ice removal.,11/24/2015,12:00 PM,Streets and Sanitation,1/11/1900,24,2015,41.8972803,-87.7188044
9**,N,LAWNDALE,10-8-180    Snow and ice removal.,11/24/2015,12:00 PM,Streets and Sanitation,1/11/1900,24,2015,41.8972803,-87.7188044
44**,S,DREXEL,10-8-180    Snow and ice removal.,12/8/2015,12:00 PM,Streets and Sanitation,1/12/1900,8,2015,41.814849,-87.604975
103**,S,INDIANA,10-8-180    Snow and ice removal.,12/29/2015,4:45 AM,Police,1/12/1900,29,2015,41.7072278,-87.61861
103**,S,INDIANA,10-8-180    Snow and ice removal.,12/29/2015,4:45 AM,Police,1/12/1900,29,2015,41.7072278,-87.61861
120**,S,LOWE,10-8-180    Snow and ice removal.,12/29/2015,4:55 AM,Police,1/12/1900,29,2015,41.6760083,-87.6382412
120**,S,LOWE,10-8-180    Snow and ice removal.,12/29/2015,4:55 AM,Police,1/12/1900,29,2015,41.6760083,-87.6382412
105**,S,CALUMET,10-8-180    Snow and ice removal.,12/29/2015,5:00 AM,Police,1/12/1900,29,2015,41.7035001,-87.6151704
116**,S,STATE,10-8-180    Snow and ice removal.,12/29/2015,5:10 AM,Police,1/12/1900,29,2015,41.8781136,-87.6297982
113**,S,STEWART,10-8-180    Snow and ice removal.,12/29/2015,5:15 AM,Police,1/12/1900,29,2015,41.688706,-87.6328772
60**,N,CLARK,10-8-180    Snow and ice removal.,12/29/2015,12:00 PM,Streets and Sanitation,1/12/1900,29,2015,41.990955,-87.670433
15**,W,DEVON,10-8-180    Snow and ice removal.,12/29/2015,12:00 PM,Streets and Sanitation,1/12/1900,29,2015,41.9983902,-87.6682483
52**,N,LINCOLN,10-8-180    Snow and ice removal.,12/29/2015,12:00 PM,Streets and Sanitation,1/12/1900,29,2015,41.9760206,-87.6927954
86**,S,MORGAN,10-8-180    Snow and ice removal.,12/30/2015,1:23 AM,Police,1/12/1900,30,2015,41.73769,-87.648881
86**,S,MORGAN,10-8-180    Snow and ice removal.,12/30/2015,1:40 AM,Police,1/12/1900,30,2015,41.73769,-87.648881
17**,W,107TH,10-8-180    Snow and ice removal.,12/30/2015,12:00 PM,Streets and Sanitation,1/12/1900,30,2015,41.699624,-87.664709
39**,W,BELMONT,10-8-180    Snow and ice removal.,12/30/2015,12:00 PM,Streets and Sanitation,1/12/1900,30,2015,41.9391499,-87.7238985
42**,N,MILWAUKEE,10-8-180    Snow and ice removal.,12/30/2015,12:00 PM,Streets and Sanitation,1/12/1900,30,2015,41.957301,-87.7518876
42**,N,MILWAUKEE,10-8-180    Snow and ice removal.,12/30/2015,12:00 PM,Streets and Sanitation,1/12/1900,30,2015,41.957301,-87.7518876
17**,W,107TH,10-8-180    Snow and ice removal.,12/30/2015,12:00 PM,Streets and Sanitation,1/12/1900,30,2015,41.699624,-87.664709
59**,N,RIDGE,10-8-180    Snow and ice removal.,12/31/2015,12:00 PM,Streets and Sanitation,1/12/1900,31,2015,41.9890199,-87.669469
39**,N,CENTRAL,10-8-180    Snow and ice removal.,12/31/2015,12:00 PM,Streets and Sanitation,1/12/1900,31,2015,41.95149,-87.766593
54**,N,OKETO,10-8-180    Snow and ice removal.,1/4/2016,7:00 AM,Police,1/1/1900,4,2016,41.9780413,-87.8119403
5**,W,HAWTHORNE,10-8-180    Snow and ice removal.,1/4/2016,12:00 PM,Streets and Sanitation,1/1/1900,4,2016,41.944822,-87.6413119
11**,W,CORNELIA,10-8-180    Snow and ice removal.,1/4/2016,12:00 PM,Streets and Sanitation,1/1/1900,4,2016,41.9457878,-87.6572188
55**,W,LELAND,10-8-180    Snow and ice removal.,1/4/2016,12:00 PM,Streets and Sanitation,1/1/1900,4,2016,41.965748,-87.7651368
49**,N,MILWAUKEE,10-8-180    Snow and ice removal.,1/4/2016,12:00 PM,Streets and Sanitation,1/1/1900,4,2016,41.9696562,-87.7627692
17**,W,CERMAK,10-8-180    Snow and ice removal.,1/4/2016,2:40 AM,Transportation,1/1/1900,4,2016,41.8525026,-87.6686576
79**,S,MARYLAND,10-8-180    Snow and ice removal.,1/4/2016,8:00 AM,Transportation,1/1/1900,4,2016,41.7512638,-87.6039762
14**,W,HURON,10-8-180    Snow and ice removal.,1/5/2016,12:00 PM,Streets and Sanitation,1/1/1900,5,2016,41.8943576,-87.6623881
56**,N,MAGNOLIA,10-8-180    Snow and ice removal.,1/5/2016,12:00 PM,Streets and Sanitation,1/1/1900,5,2016,41.9835766,-87.6613535
63**,N,LAKEWOOD,10-8-180    Snow and ice removal.,1/5/2016,12:00 PM,Streets and Sanitation,1/1/1900,5,2016,41.9963695,-87.6629646
10**,W,MADISON,10-8-180    Snow and ice removal.,1/5/2016,7:45 AM,Transportation,1/1/1900,5,2016,41.8820011,-87.6522527
87**,S,ASHLAND,10-8-180    Snow and ice removal.,1/5/2016,10:30 AM,Transportation,1/1/1900,5,2016,41.7354919,-87.6635074
86**,S,PULASKI,10-8-180    Snow and ice removal.,1/5/2016,9:47 AM,Transportation,1/1/1900,5,2016,41.736046,-87.7218708
78**,S,YATES,10-8-180    Snow and ice removal.,1/5/2016,10:00 AM,Transportation,1/1/1900,5,2016,41.753395,-87.566607
6**,W,62ND,10-8-180    Snow and ice removal.,1/6/2016,3:58 AM,Police,1/1/1900,6,2016,41.7818253,-87.6401788
5**,W,61ST,10-8-180    Snow and ice removal.,1/6/2016,3:08 AM,Police,1/1/1900,6,2016,41.7837559,-87.637791
54**,N,LOVEJOY,10-8-180    Snow and ice removal.,1/6/2016,12:00 PM,Streets and Sanitation,1/1/1900,6,2016,41.9793621,-87.7700265
54**,N,LOVEJOY,10-8-180    Snow and ice removal.,1/6/2016,12:00 PM,Streets and Sanitation,1/1/1900,6,2016,41.9793621,-87.7700265
31**,W,GRAND,10-8-180    Snow and ice removal.,1/6/2016,12:53 PM,Transportation,1/1/1900,6,2016,41.8976416,-87.7039234
28**,N,LINCOLN,10-8-180    Snow and ice removal.,1/6/2016,12:56 PM,Transportation,1/1/1900,6,2016,41.9326494,-87.658886
29**,N,LINCOLN,10-8-180    Snow and ice removal.,1/6/2016,12:56 PM,Transportation,1/1/1900,6,2016,41.93452,-87.6618139
31**,W,BELMONT,10-8-180    Snow and ice removal.,1/6/2016,8:35 AM,Transportation,1/1/1900,6,2016,41.9395052,-87.7053717
26**,S,THROOP,10-8-180    Snow and ice removal.,1/6/2016,11:43 AM,Transportation,1/1/1900,6,2016,41.845337,-87.656094
