Violation Street Number,Violation Street Direction,Violation Street Name,Violation Description,Violation Date,Violation Time,Issuing Agency,Month,Date,Year,Latitude,Longitude
8**,N,MICHIGAN,10-8-180    Snow and ice removal.,5/31/2016,5:30 AM,Police,1/5/1900,31,2016,41.8971196,-87.6255022
28**,W,MARQUETTE,10-8-180    Snow and ice removal.,7/13/2016,6:16 AM,Police,1/7/1900,13,2016,41.7721852,-87.6935312
48**,S,WOLCOTT,10-8-180    Snow and ice removal.,12/8/2016,12:00 PM,Streets and Sanitation,1/12/1900,8,2016,41.8065795,-87.6724594
73**,S,MORGAN,10-8-180    Snow and ice removal.,12/12/2016,10:04 AM,Police,1/12/1900,12,2016,41.7613674,-87.6495148
56**,S,HOYNE,10-8-180    Snow and ice removal.,12/12/2016,12:44 PM,Police,1/12/1900,12,2016,41.7919445,-87.6769249
57**,S,HOYNE,10-8-180    Snow and ice removal.,12/12/2016,12:41 PM,Police,1/12/1900,12,2016,41.7902167,-87.6766261
56**,S,HOYNE,10-8-180    Snow and ice removal.,12/12/2016,12:48 PM,Police,1/12/1900,12,2016,41.7919445,-87.6769249
56**,S,SEELEY,10-8-180    Snow and ice removal.,12/12/2016,1:04 AM,Police,1/12/1900,12,2016,41.7919594,-87.6757154
99**,S,VINCENNES,10-8-180    Snow and ice removal.,12/12/2016,12:00 PM,Streets and Sanitation,1/12/1900,12,2016,41.7140795,-87.653292
33**,W,55TH,10-8-180    Snow and ice removal.,12/12/2016,12:00 PM,Streets and Sanitation,1/12/1900,12,2016,41.7936848,-87.7061975
45**,S,DREXEL,10-8-180    Snow and ice removal.,12/12/2016,12:00 PM,Streets and Sanitation,1/12/1900,12,2016,41.813007,-87.605028
70**,S,YALE,10-8-180    Snow and ice removal.,12/13/2016,1:05 AM,Police,1/12/1900,13,2016,41.767212,-87.6310521
58**,S,DAMEN,10-8-180    Snow and ice removal.,12/13/2016,12:14 PM,Police,1/12/1900,13,2016,41.788213,-87.674747
57**,S,DAMEN,10-8-180    Snow and ice removal.,12/13/2016,12:22 PM,Police,1/12/1900,13,2016,41.790147,-87.674528
57**,S,DAMEN,10-8-180    Snow and ice removal.,12/13/2016,12:17 PM,Police,1/12/1900,13,2016,41.790147,-87.674528
56**,S,DAMEN,10-8-180    Snow and ice removal.,12/13/2016,12:25 PM,Police,1/12/1900,13,2016,41.7919709,-87.674592
24**,W,51ST,10-8-180    Snow and ice removal.,12/13/2016,12:00 PM,Streets and Sanitation,1/12/1900,13,2016,41.8011478,-87.6842268
33**,N,HALSTED,10-8-180    Snow and ice removal.,12/13/2016,12:00 PM,Streets and Sanitation,1/12/1900,13,2016,41.9419195,-87.6496605
6**,N,FRANKLIN,10-8-180    Snow and ice removal.,12/13/2016,12:00 PM,Streets and Sanitation,1/12/1900,13,2016,41.894212,-87.63593
3**,W,ERIE,10-8-180    Snow and ice removal.,12/13/2016,12:00 PM,Streets and Sanitation,1/12/1900,13,2016,41.89398,-87.6356508
2**,W,GRAND,10-8-180    Snow and ice removal.,12/13/2016,12:00 PM,Streets and Sanitation,1/12/1900,13,2016,41.8917315,-87.6344574
2**,E,31ST,10-8-180    Snow and ice removal.,12/13/2016,3:47 AM,Transportation,1/12/1900,13,2016,41.8383559,-87.6218874
19**,W,HUBBARD,10-8-180    Snow and ice removal.,12/13/2016,8:20 AM,Transportation,1/12/1900,13,2016,41.8899846,-87.6747717
12**,E,95TH,10-8-180    Snow and ice removal.,12/13/2016,2:00 AM,Transportation,1/12/1900,13,2016,41.7225248,-87.5944945
30**,E,89TH,10-8-180    Snow and ice removal.,12/13/2016,10:50 AM,Transportation,1/12/1900,13,2016,41.7337163,-87.551321
11**,S,WABASH,10-8-180    Snow and ice removal.,12/13/2016,7:40 AM,Transportation,1/12/1900,13,2016,41.8692051,-87.6262365
**,E,HARRISON,10-8-180    Snow and ice removal.,12/13/2016,7:50 AM,Transportation,1/12/1900,13,2016,41.8743712,-87.6275289
**,E,VAN BUREN,10-8-180    Snow and ice removal.,12/13/2016,7:40 AM,Transportation,1/12/1900,13,2016,41.8769299,-87.6275738
4**,S,WABASH,10-8-180    Snow and ice removal.,12/13/2016,7:30 AM,Transportation,1/12/1900,13,2016,41.8769559,-87.6260427
1**,S,DES PLAINES,10-8-180    Snow and ice removal.,12/13/2016,11:15 AM,Transportation,1/12/1900,13,2016,41.8798738,-87.6440461
11**,S,LOOMIS,10-8-180    Snow and ice removal.,12/14/2016,4:38 AM,Police,1/12/1900,14,2016,41.8685334,-87.6616193
8**,S,LOOMIS,10-8-180    Snow and ice removal.,12/14/2016,4:53 AM,Police,1/12/1900,14,2016,41.8715647,-87.6619592
14**,W,LEXINGTON,10-8-180    Snow and ice removal.,12/14/2016,5:14 AM,Police,1/12/1900,14,2016,41.8725202,-87.6617592
8**,S,LAFLIN,10-8-180    Snow and ice removal.,12/14/2016,5:02 AM,Police,1/12/1900,14,2016,41.8716583,-87.6641438
8**,S,LAFLIN,10-8-180    Snow and ice removal.,12/14/2016,5:06 AM,Police,1/12/1900,14,2016,41.8716583,-87.6641438
6**,W,SCHUBERT,10-8-180    Snow and ice removal.,12/14/2016,12:00 PM,Streets and Sanitation,1/12/1900,14,2016,41.9318254,-87.6445952
43**,W,ADAMS,10-8-180    Snow and ice removal.,12/14/2016,8:04 AM,Transportation,1/12/1900,14,2016,41.878139,-87.73308
20**,S,MICHIGAN,10-8-180    Snow and ice removal.,12/14/2016,10:52 AM,Transportation,1/12/1900,14,2016,41.8552861,-87.6243404
10**,W,95TH,10-8-180    Snow and ice removal.,12/14/2016,8:30 AM,Transportation,1/12/1900,14,2016,41.7214603,-87.64807
8**,W,WASHINGTON,10-8-180    Snow and ice removal.,12/14/2016,9:45 AM,Transportation,1/12/1900,14,2016,41.883347,-87.6476165
12**,N,DEARBORN,10-8-180    Snow and ice removal.,12/14/2016,10:55 AM,Transportation,1/12/1900,14,2016,41.904147,-87.630426
8**,N,WELLS,10-8-180    Snow and ice removal.,12/14/2016,10:30 AM,Transportation,1/12/1900,14,2016,41.8967861,-87.6345409
56**,S,TROY,10-8-180    Snow and ice removal.,12/15/2016,12:00 PM,Streets and Sanitation,1/12/1900,15,2016,41.7915679,-87.7025894
57**,W,HIGGINS,10-8-180    Snow and ice removal.,12/15/2016,10:15 AM,Transportation,1/12/1900,15,2016,41.9712608,-87.7710482
20**,W,111TH,10-8-180    Snow and ice removal.,12/15/2016,2:15 AM,Transportation,1/12/1900,15,2016,41.6919296,-87.6719382
20**,W,111TH,10-8-180    Snow and ice removal.,12/15/2016,2:30 AM,Transportation,1/12/1900,15,2016,41.6919296,-87.6719382
39**,S,ARCHER,10-8-180    Snow and ice removal.,12/15/2016,9:43 AM,Transportation,1/12/1900,15,2016,41.82287,-87.689911
