Violation Street Number,Violation Street Direction,Violation Street Name,Violation Description,Violation Date,Violation Time,Issuing Agency,Month,Date,Year,Latitude,Longitude
44**,N,WESTERN,10-8-180    Snow and ice removal.,1/25/2013,12:00 PM,Streets and Sanitation,1/1/1900,25,2013,41.9614692,-87.6890519
38**,N,NARRAGANSETT,10-8-180    Snow and ice removal.,1/29/2013,10:05 AM,Transportation,1/1/1900,29,2013,41.9503661,-87.7866439
28**,W,BELMONT,10-8-180    Snow and ice removal.,2/4/2013,10:30 AM,Transportation,1/2/1900,4,2013,41.9396068,-87.6980207
14**,W,ELMDALE,10-8-180    Snow and ice removal.,2/5/2013,12:00 PM,Streets and Sanitation,1/2/1900,5,2013,41.9910884,-87.6653368
51**,S,BISHOP,10-8-180    Snow and ice removal.,2/8/2013,12:00 PM,Streets and Sanitation,1/2/1900,8,2013,41.8013436,-87.66114
16**,W,CERMAK,10-8-180    Snow and ice removal.,2/8/2013,10:05 AM,Transportation,1/2/1900,8,2013,41.852589,-87.666375
17**,W,CERMAK,10-8-180    Snow and ice removal.,2/8/2013,9:30 AM,Transportation,1/2/1900,8,2013,41.8525026,-87.6686576
43**,W,ROOSEVELT,10-8-180    Snow and ice removal.,2/8/2013,9:15 AM,Transportation,1/2/1900,8,2013,41.8660652,-87.732501
46**,N,CLARK,10-8-180    Snow and ice removal.,2/8/2013,11:20 AM,Transportation,1/2/1900,8,2013,41.965565,-87.667216
46**,N,CLARK,10-8-180    Snow and ice removal.,2/8/2013,11:48 AM,Transportation,1/2/1900,8,2013,41.965565,-87.667216
32**,W,NORTH,10-8-180    Snow and ice removal.,2/22/2013,11:15 AM,Transportation,1/2/1900,22,2013,41.9103513,-87.7070624
61**,N,KENMORE,10-8-180    Snow and ice removal.,2/25/2013,12:00 PM,Streets and Sanitation,1/2/1900,25,2013,41.9923279,-87.6568867
28**,W,TOUHY,10-8-180    Snow and ice removal.,2/28/2013,12:00 PM,Streets and Sanitation,1/2/1900,28,2013,42.0122011,-87.6998864
32**,W,IRVING PARK,10-8-180    Snow and ice removal.,2/28/2013,10:45 AM,Transportation,1/2/1900,28,2013,41.9539744,-87.7080714
33**,W,IRVING PARK,10-8-180    Snow and ice removal.,2/28/2013,10:15 AM,Transportation,1/2/1900,28,2013,41.9541645,-87.7109599
35**,W,IRVING PARK,10-8-180    Snow and ice removal.,2/28/2013,9:15 AM,Transportation,1/2/1900,28,2013,41.9540744,-87.7154233
